"VÍCTIMAS DE FEMINICIDIO, SEGÚN DEPARTAMENTO, 2015 - 2019",2018
Lima Metropolitana 1/,32
La Libertad,14
Cusco,13
Huánuco,12
Puno,10
Junín,10
Ayacucho,9
Arequipa,8
Lima 2/,6
Madre de Dios,4
Tacna,4
Amazonas,4
Lambayeque,4
Loreto,4
Piura,3
Ica,3
Apurímac,2
Áncash,2
Huancavelica,2
Prov. Const. del Callao,2
Moquegua,1
San Martín,1
Pasco,0
Cajamarca,0
Tumbes,0
Ucayali,0
